item_canonical,canonical_norm,item_id_propose,label_fr_propose,item_code,taxo_l1,taxo_l3,score,confiance,nb_lignes,prix_moyen,annees,valider_oui_non
Pointe N°8 (ordinaire),pointe,pointe_n°_2,Pointe n° 2 (ordinaire),LG-202603-001165,,,1.0,AUTO,39,1227.7435897435898,2023-2026,OUI
Pointe N°9 (ordinaire),pointe,pointe_n°_2,Pointe n° 2 (ordinaire),LG-202603-001165,,,1.0,AUTO,39,1267.128205128205,2023-2026,OUI
Spaghettis 250 grammes,spaghettis grammes,spaghettis_250_grammes,Spaghettis 250 grammes,LG-202603-001300,Divers,Grammes,1.0,AUTO,39,8557.307692307691,2023-2026,OUI
Stylo Bic bleu,stylo bic bleu,stylo_bic_bleu,Stylo Bic bleu,LG-202603-001304,Fournitures bureau,Stylo,1.0,AUTO,39,4105.102564102564,2023-2026,OUI
Tôle noire 10/10,tôle noire,tole_noire_10_10,Tôle noire 10/10,LG-202603-001398,Construction,Tole,1.0,AUTO,39,12245.28205128205,2023-2026,OUI
Vernis cellulosique,vernis cellulosique,vernis_cellulosique,Vernis cellulosique,LG-202603-001434,,,1.0,AUTO,39,2199.128205128205,2023-2026,OUI
Beurre de karité en vrac,beurre karité vrac,beurre_karite_vrac,Beurre de karité en vrac,LG-202603-000118,Alimentation,Beurre,1.0,AUTO,38,1402.2368421052631,2023-2026,OUI
Bol à usage unique,bol usage unique,bol_usage_unique,Bol à usage unique,LG-202603-000209,Art de la table,Bol,1.0,AUTO,38,1326.2105263157894,2023-2026,OUI
"Câble souple 4 x 2,5",câble souple,cable_souple_3_x_2.5_rouleaux,"Câble souple 3 x 2,5 (rouleaux)",LG-202603-000249,Electricite,Cable,1.0,AUTO,38,121843.57894736843,2023-2026,OUI
Coca cola light,coca cola light,coca_cola_light,Coca cola light,LG-202603-000411,Alimentation,Coca,1.0,AUTO,38,9859.526315789473,2023-2026,OUI
Coca cola zero,coca cola zero,coca_cola_zero,Coca cola zero,LG-202603-000412,Alimentation,Coca,1.0,AUTO,38,10242.71052631579,2023-2026,OUI
Cornière 30x30x3 (barre de 6 m),cornière,corniere_100x100_barre_6_m,Cornière 100x100 (barre de 6 m),LG-202603-000477,Construction,Corniere,1.0,AUTO,38,6494.605263157895,2023-2026,OUI
Cornière 40x40x4 (barre de 6 m),cornière,corniere_100x100_barre_6_m,Cornière 100x100 (barre de 6 m),LG-202603-000477,Construction,Corniere,1.0,AUTO,38,9796.657894736842,2023-2026,OUI
Cornière 50x50 (barre de 6 m),cornière,corniere_100x100_barre_6_m,Cornière 100x100 (barre de 6 m),LG-202603-000477,Construction,Corniere,1.0,AUTO,38,10983.763157894737,2023-2026,OUI
Couteau à viande,couteau viande,couteau_viande,Couteau à viande,LG-202603-000515,Art de la table,Couteau,1.0,AUTO,38,9089.71052631579,2023-2026,OUI
"Eau DIAGO 0,5 litre",eau diago,eau_diago_0.33_litre,"Eau DIAGO 0,33 litre",LG-202603-000559,Divers,Litres,1.0,AUTO,38,4445.973684210527,2023-2026,OUI
"jus cocktail ""Best"" en cannette",jus cocktail best cannette,jus_cocktail_best_cannette,"jus cocktail ""Best"" en cannette",LG-202603-000884,Alimentation,Jus,1.0,AUTO,38,10430.552631578947,2023-2026,OUI
Jus IRA en cannette,jus ira cannette,jus_ira_cannette,Jus IRA en cannette,LG-202603-000891,Alimentation,Jus,1.0,AUTO,38,10336.315789473683,2023-2026,OUI
Jus multi fruits,jus multi fruits,jus_multi_fruits,Jus multi fruits,LG-202603-000893,Alimentation,Jus,1.0,AUTO,38,9849.631578947368,2023-2026,OUI
Lait en poudre sac de 5 kg,lait poudre,lait_poudre_25kg,Lait en poudre sac 25kg,LG-202603-000945,Alimentation,Lait,1.0,AUTO,38,16483.684210526317,2023-2026,OUI
Macedoine 800 grammes,macedoine grammes,macedoine_450_grammes,Macedoine 450 grammes,LG-202603-000983,Divers,Grammes,1.0,AUTO,38,1505.3684210526317,2023-2026,OUI
Mayonnaise BAMA (1000ml),mayonnaise bama,mayonnaise_bama_1000ml,Mayonnaise BAMA (1000ml),LG-202603-001002,Alimentation,Mayonnaise,1.0,AUTO,38,22435.315789473683,2023-2026,OUI
Mayonnaise Calvé (1000MI) grande taille,mayonnaise calvé grande taille,mayonnaise_calve_1000mi_grande_taille,Mayonnaise Calvé (1000MI) grande taille,LG-202603-001005,Alimentation,Mayonnaise,1.0,AUTO,38,21610.052631578947,2023-2026,OUI
Mayonnaise Calvé (250MI),mayonnaise calvé,mayonnaise_calve_250mi,Mayonnaise Calvé (250MI),LG-202603-001006,Alimentation,Mayonnaise,1.0,AUTO,38,13434.657894736842,2023-2026,OUI
Papier Photocopie A4,papier photocopie,papier_photocopie_a3,Papier Photocopie A3,LG-202603-001087,Fournitures bureau,Papier,1.0,AUTO,38,12788.5,2023-2026,OUI
Peinture à huile 20 kgs (Saapec),peinture huile kgs,peinture_huile_20_kgs_saapec,Peinture à huile 20 kgs (Saapec),LG-202603-001112,Alimentation,Huile,1.0,AUTO,38,31777.184210526317,2023-2026,OUI
Peinture noire 250 g,peinture noire,peinture_noire_1kg,Peinture noire 1 kg,LG-202603-001116,Construction,Peinture,1.0,AUTO,38,1230.5526315789473,2023-2026,OUI
Peinture rouge pingle 3 Kg,peinture rouge pingle,peinture_rouge_pingle_3kg,Peinture rouge pingle 3 Kg,LG-202603-001121,Construction,Peinture,1.0,AUTO,38,6326.105263157895,2023-2026,OUI
Petits pois 800 grammes,petits pois grammes,petits_pois_450_grammes,Petits pois 450 grammes,LG-202603-001138,Alimentation,Pois,1.0,AUTO,38,1476.5,2023-2026,OUI
Pointe acier N°10,pointe acier,pointe_acier_n°10,Pointe acier N°10,LG-202603-001157,Construction,Acier,1.0,AUTO,38,1842.578947368421,2023-2026,OUI
Riz Gambiaka (100 kg),riz gambiaka,riz_gambiaka_100kg,Riz Gambiaka (100 kg),LG-202603-001237,Alimentation,Riz,1.0,AUTO,38,49148.60526315789,2023-2026,OUI
Stylo Bic rouge,stylo bic rouge,stylo_bic_rouge,Stylo Bic rouge,LG-202603-001309,Fournitures bureau,Stylo,1.0,AUTO,38,4029.6052631578946,2023-2026,OUI
Sucre diabétique,sucre diabétique,sucre_diabetique,Sucre diabétique,LG-202603-001312,Alimentation,Sucre,1.0,AUTO,38,1897.2894736842106,2023-2026,OUI
Tôle noire 8/10,tôle noire,tole_noire_10_10,Tôle noire 10/10,LG-202603-001398,Construction,Tole,1.0,AUTO,38,9437.236842105263,2023-2026,OUI
Tôle ondulée 6 kg,tôle ondulée,tole_ondulee_5kg,Tôle ondulée 5 kg,LG-202603-001406,Construction,Tole,1.0,AUTO,38,5456.3421052631575,2023-2026,OUI
Anneau pour reliure N°10,anneau reliure,anneau_reliure_n°10,Anneau pour reliure N°10,LG-202603-000050,Fournitures bureau,Reliure,1.0,AUTO,37,4067.3783783783783,2023-2026,OUI
Anneau pour reliure N°20,anneau reliure,anneau_reliure_n°10,Anneau pour reliure N°10,LG-202603-000050,Fournitures bureau,Reliure,1.0,AUTO,37,9887.567567567568,2023-2026,OUI
Barre de double Z leger,barre double leger,barre_double_z_leger,Barre de double Z leger,LG-202603-000100,Divers,Barre,1.0,AUTO,37,6177.0,2023-2026,OUI
Barre de double Z lourd,barre double lourd,barre_double_z_lourd,Barre de double Z lourd,LG-202603-000101,Divers,Barre,1.0,AUTO,37,8309.27027027027,2023-2026,OUI
Cornière 40x40x5 (barre de 6 m),cornière,corniere_100x100_barre_6_m,Cornière 100x100 (barre de 6 m),LG-202603-000477,Construction,Corniere,1.0,AUTO,37,10014.54054054054,2023-2026,OUI
Enveloppe kaki MF,enveloppe kaki,enveloppe_kaki_gf,Enveloppe kaki GF,LG-202603-000649,Fournitures bureau,Enveloppe,1.0,AUTO,37,2034.7027027027027,2023-2026,OUI
Fil d'attache,fil attache,fil_attache,Fil d'attache,LG-202603-000699,Textile,Fil,1.0,AUTO,37,13760.594594594595,2023-2026,OUI
Grands crochets pour porte,grands crochets porte,grands_crochets_porte,Grands crochets pour porte,LG-202603-000794,,,1.0,AUTO,37,20519.378378378377,2023-2026,OUI
Haricot sec,haricot sec,haricot_sec,Haricot sec,LG-202603-000812,Alimentation,Haricot,1.0,AUTO,37,688.4054054054054,2023-2026,OUI
Huile d'arachide raffinée,huile arachide raffinée,huile_arachide_raffinee,Huile d'arachide raffinée,LG-202603-000819,Alimentation,Huile,1.0,AUTO,37,1277.972972972973,2023-2026,OUI
Huile Dinor,huile dinor,huile_dinor,Huile Dinor,LG-202603-000827,Alimentation,Huile,1.0,AUTO,37,1306.2972972972973,2023-2026,OUI
Huile d'olive,huile olive,huile_olive,Huile d'olive,LG-202603-000838,Alimentation,Huile,1.0,AUTO,37,5481.810810810811,2023-2026,OUI
"Jus de bissap; (1,5 litre)",jus bissap,jus_bissap_1.5_litre,"Jus de bissap; (1,5 litre)",LG-202603-000882,Alimentation,Jus,1.0,AUTO,37,1079.5945945945946,2023-2026,OUI
Papier Padex,papier padex,papier_padex,Papier Padex,LG-202603-001084,Fournitures bureau,Papier,1.0,AUTO,37,4855.027027027027,2023-2026,OUI
Peinture noire 250 g (Atlas - Auto),peinture noire,peinture_noire_1kg,Peinture noire 1 kg,LG-202603-001116,Construction,Peinture,1.0,AUTO,37,1540.2972972972973,2023-2026,OUI
Petits pois 450 grammes,petits pois grammes,petits_pois_450_grammes,Petits pois 450 grammes,LG-202603-001138,Alimentation,Pois,1.0,AUTO,37,926.918918918919,2023-2026,OUI
Platre d'importation,platre importation,platre_importation,Platre d'importation,LG-202603-001153,,,1.0,AUTO,37,182877.45945945947,2023-2026,OUI
Post it GF,post,post-it_mf,Post-it MF,LG-202603-001190,,,1.0,AUTO,37,15217.702702702703,2023-2026,OUI
Rond Tor N° 10( barre de 12m) HA 10,rond tor,fer_rond_fer_tor_n°_10_barre_12m_ha_10,Rond Tor N° 10( barre de 12m) HA 10,LG-202603-000667,Divers,Barre,1.0,AUTO,37,2748.0,2023-2026,OUI
Sac de sel,sel,sac_sel,Sac de sel,LG-202603-001259,Plastiques et emballages,Sac,1.0,AUTO,37,3342.054054054054,2023-2026,OUI
Soumbala,soumbala,soumbala,Soumbala,LG-202603-001296,,,1.0,AUTO,37,1950.837837837838,2023-2026,OUI
Tôle noire 15/10,tôle noire,tole_noire_10_10,Tôle noire 10/10,LG-202603-001398,Construction,Tole,1.0,AUTO,37,16711.891891891893,2023-2026,OUI
Anneau pour reliure N°22,anneau reliure,anneau_reliure_n°10,Anneau pour reliure N°10,LG-202603-000050,Fournitures bureau,Reliure,1.0,AUTO,36,10689.333333333332,2023-2026,OUI
Anneau pour reliure N°6,anneau reliure,anneau_reliure_n°10,Anneau pour reliure N°10,LG-202603-000050,Fournitures bureau,Reliure,1.0,AUTO,36,3051.4444444444443,2023-2026,OUI
Bidon d'huile de pompe de direction,huile pompe direction,bidon_huile_pompe_direction,Bidon d'huile de pompe de direction,LG-202603-000125,Alimentation,Huile,1.0,AUTO,36,2764.027777777778,2023-2026,OUI
Café Maxwell (200 g),café maxwell,cafe_maxwell_200g,Café Maxwell (200 g),LG-202603-000268,Alimentation,Cafe,1.0,AUTO,36,56620.36111111111,2023-2026,OUI
Colle forte,colle forte,colle_forte,Colle forte,LG-202603-000418,Fournitures bureau,Colle,1.0,AUTO,36,2524.6666666666665,2023-2026,OUI
Cornière 45x45 (barre de 6 m),cornière,corniere_100x100_barre_6_m,Cornière 100x100 (barre de 6 m),LG-202603-000477,Construction,Corniere,1.0,AUTO,36,10287.805555555557,2023-2026,OUI
Couteau à manger,couteau manger,couteau_manger,Couteau à manger,LG-202603-000513,Art de la table,Couteau,1.0,AUTO,36,6660.472222222223,2023-2026,OUI
Couteau à poisson,couteau poisson,couteau_poisson,Couteau à poisson,LG-202603-000514,Alimentation,Pois,1.0,AUTO,36,7041.416666666667,2023-2026,OUI
Encre à tampon,encre tampon,encre_tampon,Encre à tampon,LG-202603-000608,Fournitures bureau,Encre,1.0,AUTO,36,986.8055555555555,2023-2026,OUI
Enveloppe kaki GF,enveloppe kaki,enveloppe_kaki_gf,Enveloppe kaki GF,LG-202603-000649,Fournitures bureau,Enveloppe,1.0,AUTO,36,3453.6666666666665,2023-2026,OUI
Gaz oil,gaz oil,gaz_oil,Gaz oil,LG-202603-000784,,,1.0,AUTO,36,804.5,2023-2026,OUI
Huile moteur SAE 50,huile moteur sae,huile_moteur_sae_50,Huile moteur SAE 50,LG-202603-000837,Alimentation,Huile,1.0,AUTO,36,9562.694444444445,2023-2026,OUI
Jus de mangue avec pulpe en cannette,jus mangue pulpe cannette,jus_mangue_pulpe_cannette,Jus de mangue avec pulpe en cannette,LG-202603-000892,Alimentation,Jus,1.0,AUTO,36,10286.166666666668,2023-2026,OUI
"Jus de tamarin (1,5 litre)",jus tamarin,jus_tamarin_1.5_litre,"Jus de tamarin (1,5 litre)",LG-202603-000898,Alimentation,Jus,1.0,AUTO,36,1327.9444444444443,2023-2026,OUI
Jus nectar,jus nectar,jus_nectar,Jus nectar,LG-202603-000894,Alimentation,Jus,1.0,AUTO,36,10305.666666666668,2023-2026,OUI
Jus PRESSEA,jus pressea,jus_pressea,Jus PRESSEA,LG-202603-000896,Alimentation,Jus,1.0,AUTO,36,10592.138888888889,2023-2026,OUI
Lait en poudre sac de 50kg,lait poudre,lait_poudre_25kg,Lait en poudre sac 25kg,LG-202603-000945,Alimentation,Lait,1.0,AUTO,36,118649.5,2023-2026,OUI
Lait Mixwell 5kg,lait mixwell,lait_mixwell_10kg,Lait Mixwell 10kg,LG-202603-000940,Alimentation,Lait,1.0,AUTO,36,14958.722222222223,2023-2026,OUI
Maïs non pilé,maïs non pilé,mais_non_pile,Maïs non pilé,LG-202603-000989,,,1.0,AUTO,36,17512.555555555555,2026-2026,OUI
Maïs pilé,maïs pilé,mais_pile,Maïs pilé,LG-202603-000990,,,1.0,AUTO,36,20514.25,2026-2026,OUI
Pâte d'arachide 5kg,pâte arachide,pate_arachide_5kg,Pâte d'arachide 5kg,LG-202603-001103,Alimentation,Arachide,1.0,AUTO,36,7392.861111111111,2023-2026,OUI
Paumelle,paumelle,paumelle,Paumelle,LG-202603-001104,,,1.0,AUTO,36,3891.6944444444443,2023-2026,OUI
Peinture à huile 20 kgs (Sadolac),peinture huile kgs,peinture_huile_20_kgs_saapec,Peinture à huile 20 kgs (Saapec),LG-202603-001112,Alimentation,Huile,1.0,AUTO,36,32329.11111111111,2023-2026,OUI
Pelure forte,pelure forte,pelure_forte,Pelure forte,LG-202603-001131,,,1.0,AUTO,36,11041.777777777777,2023-2026,OUI
Poudre de baobab,poudre baobab,poudre_baobab,Poudre de baobab,LG-202603-001197,,,1.0,AUTO,36,1961.4444444444443,2023-2026,OUI
Riz parfumé 5 Kg,riz parfumé,riz_parfume_25kg,Riz parfumé 25 Kg,LG-202603-001238,Alimentation,Riz,1.0,AUTO,36,4088.972222222222,2023-2026,OUI
Sac d'aliment betail (50kg),aliment betail,sac_aliment_betail_50kg,Sac d'aliment betail (50kg),LG-202603-001258,Plastiques et emballages,Sac,1.0,AUTO,36,12113.888888888889,2023-2026,OUI
Sceau plastique (15 litres),sceau plastique,sceau_plastique_15_litres,Sceau plastique (15 litres),LG-202603-001273,Plastiques et emballages,Plastique,1.0,AUTO,36,12910.361111111111,2023-2026,OUI
Sel de cuisine en cristaux,sel cuisine cristaux,sel_cuisine_cristaux,Sel de cuisine en cristaux,LG-202603-001282,,,1.0,AUTO,36,272.5833333333333,2023-2026,OUI
Stylo Bic Bleu Cristal,stylo bic bleu cristal,stylo_bic_bleu_cristal,Stylo Bic Bleu Cristal,LG-202603-001305,Fournitures bureau,Stylo,1.0,AUTO,36,4268.555555555556,2023-2026,OUI
Stylo Bic Rouge Cristal,stylo bic rouge cristal,stylo_bic_rouge_cristal,Stylo Bic Rouge Cristal,LG-202603-001310,Fournitures bureau,Stylo,1.0,AUTO,36,3979.3055555555557,2023-2026,OUI
Vernis universel,vernis universel,vernis_universel,Vernis universel,LG-202603-001435,,,1.0,AUTO,36,3005.3611111111113,2023-2026,OUI
Beurre de karité 100 grammes,beurre karité grammes,beurre_karite_100_grammes,Beurre de karité 100 grammes,LG-202603-000116,Alimentation,Beurre,1.0,AUTO,35,946.1714285714286,2023-2026,OUI
Bois rouge 40 cm x 4 mm,bois rouge,bois_rouge_40cm_x_4mm,Bois rouge 40 cm x 4 mm,LG-202603-000182,Construction,Bois,1.0,AUTO,35,8946.542857142857,2023-2026,OUI
"Câble TH 1,5 (rouleaux)",câble,cable_th_1.5_rouleaux,"Câble TH 1,5 (rouleaux)",LG-202603-000252,Electricite,Cable,1.0,AUTO,35,12074.542857142857,2023-2026,OUI
Chaux vive sac de 20 kgs,chaux vive kgs,chaux_vive_sac_20_kgs,Chaux vive sac de 20 kgs,LG-202603-000364,Plastiques et emballages,Sac,1.0,AUTO,35,6847.285714285715,2023-2026,OUI
